9_3_C3_35,10_3_C3_45
7_0_C0_35,1_1_C1_20
7_1_C1_55,20_6_C6_45
22_6_C6_25,38_3_C3_55
32_2_C2_25,31_7_C7_10
22_6_C6_25,7_3_C3_15
24_3_C3_70,10_1_C1_20
2_4_C4_10,32_6_C6_30
7_0_C0_35,31_7_C7_10
27_5_C5_75,13_1_C1_45
32_4_C4_30,1_2_C2_10
16_6_C6_75,32_2_C2_25
30_1_C1_15,1_4_C4_45
9_4_C4_60,20_6_C6_45
6_2_C2_60,20_6_C6_45
9_3_C3_35,5_3_C3_45
10_1_C1_20,24_4_C4_55
19_5_C5_70,7_3_C3_15
24_3_C3_70,31_7_C7_10
10_3_C3_45,16_6_C6_75
32_4_C4_30,10_1_C1_20
5_1_C1_70,34_1_C1_55
30_1_C1_15,7_3_C3_15
13_1_C1_45,6_1_C1_50
10_1_C1_20,38_3_C3_55
21_2_C2_75,5_3_C3_45
2_4_C4_10,31_7_C7_10
21_2_C2_75,32_6_C6_30
4_2_C2_5,22_6_C6_25
16_3_C3_40,38_8_C8_35
1_4_C4_45,27_5_C5_75
30_1_C1_15,38_3_C3_55
7_2_C2_50,31_7_C7_10
32_6_C6_30,20_6_C6_45
9_3_C3_35,31_7_C7_10
9_3_C3_35,31_7_C7_10
24_3_C3_70,20_6_C6_45
24_4_C4_55,6_1_C1_50
9_2_C2_40,32_4_C4_30
24_3_C3_70,34_3_C3_65
6_1_C1_50,33_1_C1_45
9_4_C4_60,1_1_C1_20
27_5_C5_75,38_8_C8_35
2_4_C4_10,4_2_C2_5
34_3_C3_65,7_1_C1_55
7_1_C1_55,34_3_C3_65
30_1_C1_15,4_2_C2_5
4_2_C2_5,30_1_C1_15
1_1_C1_20,20_6_C6_45
6_1_C1_50,38_8_C8_35
34_3_C3_65,30_7_C7_25
30_7_C7_25,8_1_C1_5
22_6_C6_25,31_7_C7_10
6_2_C2_60,5_3_C3_45
5_1_C1_70,1_4_C4_45
30_1_C1_15,34_1_C1_55
1_1_C1_20,31_7_C7_10
1_4_C4_45,32_2_C2_25
6_1_C1_50,34_3_C3_65
7_1_C1_55,27_5_C5_75
10_1_C1_20,38_8_C8_35
19_5_C5_70,7_0_C0_35
19_5_C5_70,34_3_C3_65
31_7_C7_10,2_4_C4_10
6_1_C1_50,32_4_C4_30
1_4_C4_45,10_3_C3_45
5_1_C1_70,1_1_C1_20
34_3_C3_65,16_6_C6_75
33_1_C1_45,31_7_C7_10
1_4_C4_45,16_6_C6_75
34_3_C3_65,6_1_C1_50
13_1_C1_45,24_3_C3_70
5_3_C3_45,4_2_C2_5
32_6_C6_30,30_1_C1_15
16_6_C6_75,8_1_C1_5
1_2_C2_10,6_2_C2_60
7_2_C2_50,38_3_C3_55
19_5_C5_70,1_4_C4_45
1_1_C1_20,31_7_C7_10
7_2_C2_50,38_3_C3_55
4_2_C2_5,38_8_C8_35
4_2_C2_5,38_8_C8_35
38_3_C3_55,34_1_C1_55
10_3_C3_45,9_3_C3_35
4_2_C2_5,20_6_C6_45
19_5_C5_70,16_3_C3_40
4_2_C2_5,20_6_C6_45
9_2_C2_40,5_3_C3_45
19_5_C5_70,16_3_C3_40
9_2_C2_40,5_3_C3_45
38_3_C3_55,32_6_C6_30
24_3_C3_70,16_3_C3_40
24_3_C3_70,16_3_C3_40
27_5_C5_75,8_1_C1_5
24_3_C3_70,16_3_C3_40
7_2_C2_50,4_2_C2_5
27_5_C5_75,8_1_C1_5
1_2_C2_10,32_4_C4_30
34_1_C1_55,8_1_C1_5
16_3_C3_40,1_1_C1_20
38_3_C3_55,33_1_C1_45
33_1_C1_45,38_3_C3_55
16_3_C3_40,34_1_C1_55
32_2_C2_25,8_1_C1_5
8_1_C1_5,32_2_C2_25
22_6_C6_25,21_2_C2_75
5_1_C1_70,32_2_C2_25
6_1_C1_50,7_0_C0_35
6_1_C1_50,1_1_C1_20
21_2_C2_75,32_4_C4_30
27_5_C5_75,2_4_C4_10
9_2_C2_40,2_4_C4_10
24_4_C4_55,8_1_C1_5
1_4_C4_45,32_2_C2_25
24_3_C3_70,7_0_C0_35
33_1_C1_45,34_1_C1_55
9_4_C4_60,21_2_C2_75
31_7_C7_10,7_2_C2_50
34_3_C3_65,38_8_C8_35
7_1_C1_55,6_2_C2_60
6_2_C2_60,21_2_C2_75
7_2_C2_50,7_1_C1_55
6_2_C2_60,2_4_C4_10
7_2_C2_50,9_3_C3_35
10_1_C1_20,8_1_C1_5
7_2_C2_50,10_1_C1_20
33_1_C1_45,20_6_C6_45
20_6_C6_45,33_1_C1_45
38_3_C3_55,7_3_C3_15
9_3_C3_35,8_1_C1_5
32_6_C6_30,34_1_C1_55
13_1_C1_45,10_3_C3_45
20_6_C6_45,5_3_C3_45
7_0_C0_35,38_3_C3_55
33_1_C1_45,32_4_C4_30
33_1_C1_45,19_5_C5_70
30_7_C7_25,38_8_C8_35
24_4_C4_55,38_8_C8_35
9_4_C4_60,21_2_C2_75
1_2_C2_10,1_4_C4_45
4_2_C2_5,10_3_C3_45
7_2_C2_50,6_2_C2_60
7_1_C1_55,10_3_C3_45
1_1_C1_20,30_7_C7_25
24_4_C4_55,33_1_C1_45
1_4_C4_45,32_4_C4_30
24_4_C4_55,10_3_C3_45
38_3_C3_55,1_4_C4_45
21_2_C2_75,6_2_C2_60
7_2_C2_50,8_1_C1_5
4_2_C2_5,33_1_C1_45
6_1_C1_50,2_4_C4_10
32_2_C2_25,21_2_C2_75
32_4_C4_30,31_7_C7_10
34_3_C3_65,1_4_C4_45
16_6_C6_75,5_3_C3_45
5_3_C3_45,30_1_C1_15
2_4_C4_10,30_1_C1_15
8_1_C1_5,2_4_C4_10
6_2_C2_60,9_4_C4_60
1_4_C4_45,32_4_C4_30
33_1_C1_45,32_2_C2_25
30_1_C1_15,22_6_C6_25
4_2_C2_5,27_5_C5_75
